Data,"Tipo Residuo","Peso"
2014-12-06,"Residuos Limpeza","30820,00"
2014-12-06,"Plastico","2960,00"
2014-12-06,"Monstros","6240,00"
2014-12-06,"Papel","15600,00"
2014-12-06,"Vidro","10340,00"
2014-12-06,"Indiferenciado","246380,00"
2014-12-05,"Residuos Limpeza","19040,00"
2014-12-05,"Monstros","9520,00"
2014-12-05,"Indiferenciado","197240,00"
2014-12-05,"Plastico","12540,00"
2014-12-05,"Papel","2300,00"
2014-12-04,"Indiferenciado","230700,00"
2014-12-04,"Vidro","5060,00"
2014-12-04,"Monstros","5820,00"
2014-12-04,"Plastico","1840,00"
2014-12-04,"Residuos Limpeza","23000,00"
2014-12-04,"Papel","23580,00"
2014-12-03,"Vidro","12260,00"
2014-12-03,"Indiferenciado","227320,00"
2014-12-03,"Papel","11080,00"
2014-12-03,"Plastico","5320,00"
2014-12-03,"Residuos Limpeza","31040,00"
2014-12-03,"Monstros","10060,00"
2014-12-02,"Vidro","8500,00"
2014-12-02,"Indiferenciado","232200,00"
2014-12-02,"Monstros","9500,00"
2014-12-02,"Residuos Limpeza","36860,00"
2014-12-02,"Papel","5920,00"
2014-12-02,"Plastico","16740,00"
2014-12-01,"Indiferenciado","236500,00"
2014-12-01,"Papel","31420,00"
2014-12-01,"Plastico","1620,00"
2014-12-01,"Vidro","6440,00"
2014-12-01,"Residuos Limpeza","14440,00"
2014-12-01,"Monstros","8620,00"
2014-11-30,"Papel","3280,00"
2014-11-30,"Indiferenciado","230640,00"
2014-11-29,"Residuos Limpeza","14160,00"
2014-11-29,"Papel","5260,00"
2014-11-29,"Plastico","2780,00"
2014-11-29,"Vidro","8280,00"
2014-11-29,"Monstros","6100,00"
2014-11-29,"Indiferenciado","288560,00"
2014-11-28,"Papel","3600,00"
2014-11-28,"Plastico","11720,00"
2014-11-28,"Residuos Limpeza","27100,00"
2014-11-28,"Indiferenciado","205140,00"
2014-11-28,"Vidro","7820,00"
2014-11-28,"Monstros","8460,00"
2014-11-27,"Monstros","9880,00"
2014-11-27,"Residuos Limpeza","24400,00"
2014-11-27,"Papel","23120,00"
2014-11-27,"Plastico","1500,00"
2014-11-27,"Indiferenciado","192780,00"
2014-11-26,"Plastico","5200,00"
2014-11-26,"Monstros","8720,00"
2014-11-26,"Residuos Limpeza","18940,00"
2014-11-26,"Indiferenciado","205400,00"
2014-11-26,"Vidro","9600,00"
2014-11-26,"Papel","11280,00"
2014-11-25,"Indiferenciado","283000,00"
2014-11-25,"Residuos Limpeza","9240,00"
2014-11-25,"Monstros","11220,00"
2014-11-25,"Plastico","19160,00"
2014-11-25,"Papel","1980,00"
2014-11-25,"Cortes de Jardim","1080,00"
2014-11-25,"Vidro","12500,00"
2014-11-24,"Papel","34840,00"
2014-11-24,"Indiferenciado","188820,00"
2014-11-24,"Vidro","7440,00"
2014-11-24,"Monstros","11100,00"
2014-11-24,"Residuos Limpeza","13900,00"
2014-11-24,"Plastico","920,00"
2014-11-24,"Cortes de Jardim","5300,00"
